Wavelength (nm)	U	B	V	R	I
200.0	-0.000021	-0.000006	-0.000009	-0.000008	0.000003
200.5	-0.000026	-0.000003	0.000016	-0.000008	-0.000009
201.0	-0.000018	-0.000002	0.000011	-0.000013	0.000004
201.5	-0.000008	-0.000011	0.000009	-0.000007	0.000004
202.0	0.000015	-0.000003	0.000011	0.000002	-0.000016
202.5	0.000008	0.000004	0.000007	-0.000004	-0.000012
203.0	-0.000015	-0.000021	0.000012	-0.000008	-0.000012
203.5	-0.000005	-0.000002	0.000014	0.000009	0.000011
204.0	-0.000016	-0.000013	0.000008	-0.000007	0.000004
204.5	0.000011	0.000007	0.000013	-0.000021	-0.000005
205.0	-0.000015	-0.000006	-0.000002	0.000001	-0.000014
205.5	-0.000009	-0.000006	0.000019	-0.000018	-0.000019
206.0	-0.000031	-0.000001	0.000006	0.000005	-0.000002
206.5	-0.000003	-0.000017	0.000011	-0.000018	0.000010
207.0	-0.000005	0.000000	0.000024	0.000004	-0.000003
207.5	0.000005	0.000001	0.000007	-0.000009	-0.000008
208.0	-0.000003	-0.000006	-0.000007	-0.000001	0.000005
208.5	0.000007	-0.000002	0.000013	0.000000	-0.000005
209.0	0.000006	-0.000019	0.000004	-0.000013	-0.000016
209.5	-0.000002	-0.000001	-0.000010	-0.000012	-0.000007
210.0	-0.000013	0.000002	0.000003	-0.000004	0.000002
210.5	0.000014	-0.000018	0.000010	0.000001	-0.000001
211.0	0.000011	-0.000008	0.000000	-0.000010	0.000002
211.5	0.000012	0.000002	-0.000001	0.000000	-0.000011
212.0	-0.000006	-0.000013	0.000001	-0.000010	-0.000013
212.5	0.000003	0.000003	0.000006	-0.000004	-0.000003
213.0	-0.000003	-0.000006	-0.000006	0.000001	-0.000003
213.5	-0.000001	-0.000007	0.000004	0.000006	-0.000004
214.0	-0.000005	-0.000007	0.000015	0.000018	-0.000014
214.5	0.000002	0.000005	-0.000001	0.000002	-0.000004
215.0	0.000012	-0.000008	0.000000	-0.000005	-0.000010
215.5	0.000003	-0.000003	0.000006	-0.000009	-0.000016
216.0	0.000009	-0.000011	-0.000001	-0.000004	-0.000007
216.5	-0.000008	0.000003	0.000000	-0.000009	-0.000002
217.0	-0.000003	-0.000004	0.000010	-0.000002	-0.000016
217.5	-0.000013	-0.000012	0.000020	0.000001	0.000009
218.0	0.000000	0.000006	-0.000001	-0.000018	-0.000009
218.5	-0.000006	0.000009	-0.000002	0.000005	0.000001
219.0	-0.000014	-0.000021	0.000004	0.000014	0.000009
219.5	-0.000011	-0.000007	-0.000005	-0.000007	-0.000001
220.0	-0.000009	-0.000017	0.000008	-0.000020	-0.000010
220.5	-0.000003	0.000006	-0.000004	-0.000010	-0.000012
221.0	-0.000002	-0.000004	-0.000003	0.000017	-0.000007
221.5	-0.000011	-0.000001	0.000003	0.000003	-0.000006
222.0	-0.000001	-0.000003	0.000003	-0.000005	0.000008
222.5	-0.000002	-0.000001	-0.000007	0.000006	0.000005
223.0	0.000000	-0.000008	0.000007	-0.000008	-0.000002
223.5	-0.000006	-0.000003	0.000001	-0.000012	0.000003
224.0	-0.000003	-0.000017	0.000016	-0.000003	-0.000018
224.5	-0.000003	0.000001	0.000012	-0.000009	-0.000019
225.0	-0.000007	0.000009	0.000008	-0.000008	-0.000002
225.5	0.000003	-0.000016	0.000006	0.000003	-0.000005
226.0	-0.000017	-0.000006	0.000006	-0.000003	-0.000009
226.5	-0.000013	-0.000009	0.000000	0.000003	-0.000003
227.0	0.000003	0.000001	0.000009	0.000010	-0.000014
227.5	-0.000003	-0.000008	0.000008	0.000008	-0.000004
228.0	-0.000013	-0.000012	0.000013	0.000000	-0.000010
