2/13/2024 11:28:15 AM  Counts:405500
1420.255700000  0.000224073
1420.258629688  0.000225088
1420.261559375  0.000230151
1420.264489063  0.000231500
1420.267418750  0.000231182
1420.270348438  0.000236952
1420.273278125  0.000234037
1420.276207813  0.000233354
1420.279137500  0.000241026
1420.282067188  0.000236960
1420.284996875  0.000234791
1420.287926563  0.000236533
1420.290856250  0.000235505
1420.293785938  0.000238586
1420.296715625  0.000235459
1420.299645313  0.000235375
1420.302575000  0.000239778
1420.305504688  0.000234214
1420.308434375  0.000243479
1420.311364063  0.000237598
1420.314293750  0.000238717
1420.317223438  0.000239848
1420.320153125  0.000233687
1420.323082813  0.000240464
1420.326012500  0.000238035
1420.328942188  0.000237342
1420.331871875  0.000236961
1420.334801563  0.000235533
1420.337731250  0.000241731
1420.340660938  0.000238665
1420.343590625  0.000234623
1420.346520313  0.000235583
1420.349450000  0.000233092
1420.352379688  0.000242008
1420.355309375  0.000242299
1420.358239063  0.000236472
1420.361168750  0.000241421
1420.364098438  0.000235552
1420.367028125  0.000238127
1420.369957813  0.000239827
1420.372887500  0.000235838
1420.375817188  0.000241341
1420.378746875  0.000233758
1420.381676563  0.000241098
1420.384606250  0.000240431
1420.387535938  0.000236903
1420.390465625  0.000242762
1420.393395313  0.000237742
1420.396325000  0.000242454
1420.399254688  0.000242898
1420.402184375  0.000238939
1420.405114063  0.000240088
1420.408043750  0.000236252
1420.410973438  0.000239353
1420.413903125  0.000242163
1420.416832813  0.000237661
1420.419762500  0.000242191
1420.422692188  0.000240139
1420.425621875  0.000237065
1420.428551563  0.000241399
1420.431481250  0.000239575
1420.434410938  0.000238186
1420.437340625  0.000239429
1420.440270313  0.000239179
1420.443200000  0.000242107
1420.446129688  0.000240607
1420.449059375  0.000241592
1420.451989063  0.000238696
1420.454918750  0.000239805
1420.457848438  0.000244414
1420.460778125  0.000239441
1420.463707813  0.000242172
1420.466637500  0.000236480
1420.469567188  0.000237601
1420.472496875  0.000240367
1420.475426563  0.000236503
1420.478356250  0.000240474
1420.481285938  0.000239029
1420.484215625  0.000238982
1420.487145313  0.000238303
1420.490075000  0.000239966
1420.493004688  0.000241965
1420.495934375  0.000236077
1420.498864063  0.000239747
1420.501793750  0.000243426
1420.504723438  0.000239353
1420.507653125  0.000243766
1420.510582813  0.000241799
1420.513512500  0.000240306
1420.516442188  0.000242526
1420.519371875  0.000239955
1420.522301563  0.000244395
1420.525231250  0.000244220
1420.528160938  0.000240060
1420.531090625  0.000241818
1420.534020313  0.000237961
1420.536950000  0.000245592
1420.539879688  0.000238653
1420.542809375  0.000237840
1420.545739063  0.000241973
1420.548668750  0.000236113
1420.551598438  0.000245914
1420.554528125  0.000238110
1420.557457813  0.000234792
1420.560387500  0.000237220
1420.563317188  0.000234294
1420.566246875  0.000238825
1420.569176563  0.000240364
1420.572106250  0.000231894
1420.575035938  0.000237663
1420.577965625  0.000230116
1420.580895313  0.000235598
1420.583825000  0.000237481
1420.586754688  0.000228393
1420.589684375  0.000233065
1420.592614063  0.000229324
1420.595543750  0.000229223
1420.598473438  0.000235014
1420.601403125  0.000225941
1420.604332813  0.000233251
1420.607262500  0.000231173
1420.610192188  0.000230843
1420.613121875  0.000239482
1420.616051563  0.000229834
